NumPCs,cgdd_12c_gr2fl_tx_sites
0,29.3196
1,2.99969
2,1.99894
3,1.35676
4,1.37142
5,1.21148
6,1.2271
7,1.23354
8,1.08925
9,1.08969
10,1.09386
11,1.09067
12,1.08098
13,1.08201
14,1.08789
15,1.08857
