NumPCs,cgdd_12c_10d_tx_sites
0,27.9673
1,1.80873
2,1.55824
3,1.30166
4,1.31272
5,1.23826
6,1.24408
7,1.25169
8,1.18616
9,1.19244
10,1.18272
11,1.18413
12,1.14455
13,1.14271
14,1.14645
15,1.14845
