NumPCs,CLMB_D2F
0,16.2708
1,1.72287
2,1.77278
3,1.1283
4,1.12572
5,1.06815
6,1.0593
7,1.06451
8,1.06912
9,1.06064
10,1.05176
11,1.03614
12,1.0331
13,1.0347
14,1.03502
15,1.03457
