NumPCs,PKLE_FL50
0,8.71219
1,2.19059
2,1.35486
3,1.36211
4,1.11442
5,1.10904
6,1.1042
7,1.10311
8,1.10679
9,1.11007
10,1.10865
11,1.08974
12,1.08988
13,1.0911
14,1.07415
15,1.07721
