NumPCs,CLMB_FL50
0,21.7377
1,3.23182
2,2.12622
3,1.45541
4,1.33178
5,1.19066
6,1.13649
7,1.13925
8,1.11448
9,1.1068
10,1.09476
11,1.10626
12,1.04886
13,1.04796
14,1.0474
15,1.05039
