NumPCs,BRKG_GR50
0,6.04029
1,1.35005
2,1.03833
3,1.05529
4,0.984371
5,0.978337
6,0.981321
7,0.98437
8,0.981699
9,0.981882
10,0.985405
11,0.986355
12,0.986123
13,0.988614
14,0.98764
15,0.990723
