NumPCs,KING_FL50
0,6.80732
1,2.47969
2,1.60371
3,1.48613
4,1.25266
5,1.15244
6,1.16365
7,1.0975
8,1.07898
9,1.0503
10,1.05561
11,1.05973
12,1.01146
13,1.01515
14,1.01643
15,1.01776
