NumPCs,BRKG_FL50
0,1.44652
1,1.74673
2,1.16149
3,1.16224
4,1.12018
5,1.04107
6,1.03866
7,1.01726
8,1.00179
9,1.00063
10,1.00048
11,1.00468
12,0.992616
13,0.996168
14,1.00951
15,0.988238
