NumPCs,TMPL_GR50
0,1.75405
1,1.4986
2,1.18332
3,1.17694
4,1.07025
5,1.06637
6,1.05469
7,1.05833
8,1.05385
9,1.05292
10,1.051
11,1.05131
12,1.05327
13,1.05512
14,1.05616
15,1.05709
