NumPCs,BRKG_FL50
0,12.5763
1,1.70478
2,1.51246
3,1.19524
4,1.14502
5,1.13801
6,1.13816
7,1.15302
8,1.13069
9,1.13316
10,1.12453
11,1.12425
12,1.05703
13,1.0618
14,1.0654
15,1.06965
