NumPCs,OVTN_GR50
0,11.3715
1,2.82641
2,1.78693
3,1.62248
4,1.4921
5,1.4115
6,1.28728
7,1.26475
8,1.15509
9,1.15698
10,1.16128
11,1.08073
12,1.07712
13,1.07911
14,1.08139
15,1.08238
