NumPCs,PKLE_FL50
0,19.2494
1,2.69602
2,1.82798
3,1.37596
4,1.29929
5,1.2011
6,1.20952
7,1.11692
8,1.07754
9,1.05854
10,1.06007
11,1.0667
12,1.02925
13,1.03102
14,1.03319
15,1.03551
