NumPCs,FRMI_FL50
0,7.14674
1,1.54887
2,1.28741
3,1.09402
4,1.09058
5,1.11868
6,1.10549
7,1.06649
8,1.00052
9,1.00013
10,1.00539
11,1.03616
12,1.03963
13,1.04087
14,1.04626
15,1.04551
