NumPCs,CLMB_GR50
0,4.31378
1,1.11934
2,1.04066
3,1.0564
4,0.92515
5,0.910124
6,0.912961
7,0.899093
8,0.902147
9,0.906145
10,0.907353
11,0.907674
12,0.905692
13,0.903167
14,0.905176
15,0.908933
