NumPCs,FRMI_GR50
0,4.7496
1,2.23357
2,1.36225
3,1.15905
4,1.16954
5,1.18582
6,1.14191
7,1.13214
8,1.14191
9,1.1218
10,1.12063
11,1.06499
12,1.06337
13,1.03268
14,1.02072
15,1.03145
