NumPCs,STIL_FL50
0,2.85977
1,1.65985
2,1.14783
3,1.14406
4,1.04517
5,1.05832
6,1.06106
7,1.03001
8,1.02638
9,0.995356
10,0.998206
11,1.00058
12,1.00198
13,1.00674
14,1.00979
15,1.01238
