NumPCs,KING_SEN50
0,1.30322
1,0.901284
2,0.821332
3,0.826917
4,0.834567
5,0.832214
6,0.836294
7,0.805363
8,0.802489
9,0.807604
10,0.81036
11,0.809562
12,0.805785
13,0.801544
14,0.806135
15,0.80638
