NumPCs,STIL_GR50
0,0.936084
1,1.0872
2,1.10067
3,1.1074600000000001
4,1.11447
5,1.08818
6,1.06107
7,1.04714
8,1.05015
9,1.04454
10,1.04739
11,1.04968
12,1.04962
13,1.05048
14,1.05192
15,1.04356
