NumPCs,LINC_FL50
0,11.8875
1,2.04353
2,1.89448
3,1.12904
4,1.12674
5,1.111
6,1.12514
7,1.1242
8,1.08959
9,1.08264
10,1.09232
11,1.08101
12,1.06683
13,1.06512
14,1.0513
15,1.05416
