NumPCs,PKLE_D2F
0,23.2632
1,3.24331
2,2.07667
3,1.60722
4,1.49191
5,1.38775
6,1.32691
7,1.21977
8,1.10215
9,1.08802
10,1.0921
11,1.10354
12,1.04521
13,1.04413
14,1.04488
15,1.04735
