NumPCs,CLMB_SEN50
0,17.3231
1,1.63414
2,1.33904
3,1.13358
4,1.13494
5,1.11905
6,1.04322
7,1.04216
8,1.04527
9,1.04988
10,1.05581
11,1.00255
12,0.999975
13,0.9883
14,0.983237
15,0.983742
