NumPCs,TMPL_FL50
0,3.68879
1,1.61419
2,1.13449
3,1.14065
4,1.03667
5,1.03676
6,1.04137
7,1.03376
8,1.01836
9,1.02049
10,1.01714
11,1.01976
12,1.0221
13,1.02206
14,1.02372
15,1.02663
