NumPCs,TMPL_FL50
0,8.82781
1,3.08587
2,1.49271
3,1.2644
4,1.12766
5,1.09211
6,1.10212
7,1.051
8,1.05796
9,1.06031
10,1.0643
11,1.06697
12,1.04843
13,1.04751
14,1.04777
15,1.0502
