"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.878315153406861,0.526600877461473,0.31147762136258,0.111514539145179,0.289476593436584,0.329152414417402,0.273249521423609,0.31907876005358
"MO",0.526600877461473,1.00010817191071,0.429205026622483,0.190232826404386,0.445068835038396,0.381709179233872,0.360663320350823,0.361223801133068
"NE",0.31147762136258,0.429205026622483,0.693851468039852,0.251153930860961,0.645023489627536,0.44022405061266,0.267732701023665,0.352024728059029
"OK",0.111514539145179,0.190232826404386,0.251153930860961,0.107969584096836,0.260460862911466,0.132129008514854,0.12475465630487,0.210648313864782
"SD",0.289476593436584,0.445068835038396,0.645023489627536,0.260460862911466,0.988088532145824,0.43049556267299,0.283328779162594,0.347292572089883
"TX1",0.329152414417402,0.381709179233872,0.44022405061266,0.132129008514854,0.43049556267299,1.00073963776596,0.220363160254673,0.480391776645743
"TX2",0.273249521423609,0.360663320350823,0.267732701023665,0.12475465630487,0.283328779162594,0.220363160254673,1.00006066228617,0.115266530307471
"TX3",0.31907876005358,0.361223801133068,0.352024728059029,0.210648313864782,0.347292572089883,0.480391776645743,0.115266530307471,1.00170764888735
