"","MI","MO","NE","OK","SD","TX1","TX2","TX3"
"MI",0.999931804547672,0.480697383925753,0.0454536463738409,-0.0347070906465193,0.105286259974749,0.0585081951830153,0.333072698699644,0.111553859302195
"MO",0.480697383925753,0.999931804547672,0.269106193168272,0.192137989739624,0.329699851403421,0.308118747249437,0.559241108441799,0.357914898053918
"NE",0.0454536463738409,0.269106193168272,0.999931804547672,0.104632335233399,-0.117239491929404,0.0503380569156371,0.352769174882511,0.258822274030345
"OK",-0.0347070906465193,0.192137989739624,0.104632335233399,0.999931804547672,0.190671154108466,-0.0195115709486467,0.0222810618953447,-0.0428290681895282
"SD",0.105286259974749,0.329699851403421,-0.117239491929404,0.190671154108466,0.999931804547672,0.090007187214054,0.343746648154414,0.26895349745979
"TX1",0.0585081951830153,0.308118747249437,0.0503380569156371,-0.0195115709486467,0.090007187214054,0.999931804547672,0.650580414031279,0.669775837993883
"TX2",0.333072698699644,0.559241108441799,0.352769174882511,0.0222810618953447,0.343746648154414,0.650580414031279,0.999931804547672,0.708482467245994
"TX3",0.111553859302195,0.357914898053918,0.258822274030345,-0.0428290681895282,0.26895349745979,0.669775837993883,0.708482467245994,0.999931804547672
