"","MI","NE","OK","TX1","TX2","TX3"
"MI",0.999931804547672,0.0216797553724878,0.563570049658233,-0.0711367727997805,0.281537633353321,0.348791083437059
"NE",0.0216797553724878,0.999931804547672,0.274546442861677,-0.362433347439002,-0.00145148544008432,0.00391331428422385
"OK",0.563570049658233,0.274546442861677,0.979447605463782,0.332490089673853,0.553501645766682,0.327605199827818
"TX1",-0.0711367727997805,-0.362433347439002,0.332490089673853,0.999931804547672,0.587151778040499,0.379218927343738
"TX2",0.281537633353321,-0.00145148544008432,0.553501645766682,0.587151778040499,0.999931804547672,0.395055119233048
"TX3",0.348791083437059,0.00391331428422385,0.327605199827818,0.379218927343738,0.395055119233048,0.945479963245992
