NumPCs,FL50_eight_sites
0,1.51525
1,1.54301
2,1.27231
3,1.28629
4,1.24065
5,1.1254
6,1.09882
7,1.10317
8,1.09121
9,1.0687
10,1.06512
11,1.06505
12,1.06382
13,1.06136
14,1.06456
15,1.0638
