NumPCs,cgdd_12c_gr2fl_eight_sites
0,2.74448
1,2.41916
2,1.57765
3,1.60102
4,1.30875
5,1.22675
6,1.22322
7,1.21717
8,1.22072
9,1.13566
10,1.14046
11,1.14361
12,1.14806
13,1.14241
14,1.08397
15,1.07401
