NumPCs,FL50_eight_sites
0,29.4416
1,2.96657
2,1.95551
3,1.43974
4,1.44411
5,1.39639
6,1.39493
7,1.39007
8,1.21977
9,1.21345
10,1.21966
11,1.21402
12,1.1922
13,1.18869
14,1.17229
15,1.17258
