NumPCs,cgdd_12c_gr2fl_eight_sites
0,29.2944
1,2.9489
2,1.92611
3,1.40683
4,1.41033
5,1.3578
6,1.3702
7,1.36712
8,1.18194
9,1.17981
10,1.18593
11,1.17905
12,1.1656
13,1.16217
14,1.15192
15,1.15319
