NumPCs,dyln_fl50_eight_sites
0,1.76375
1,1.67872
2,1.30097
3,1.31287
4,1.27026
5,1.11016
6,1.04346
7,1.05001
8,1.02107
9,1.01969
10,1.01683
11,1.021
12,1.02101
13,1.02382
14,1.02048
15,1.01842
