NumPCs,dyln_fl50_eight_sites
0,2.56629
1,2.31778
2,1.55617
3,1.57404
4,1.3592
5,1.27919
6,1.26886
7,1.24463
8,1.24687
9,1.14731
10,1.15583
11,1.14685
12,1.15117
13,1.14171
14,1.08473
15,1.06845
