NumPCs,cgdd_12c_gr2fl_eight_sites
0,1.56651
1,1.57628
2,1.26206
3,1.27693
4,1.24881
5,1.12978
6,1.10908
7,1.11343
8,1.10319
9,1.07983
10,1.0757
11,1.07102
12,1.06139
13,1.05282
14,1.05525
15,1.05733
