"between(MINF_BRKG_2018, 0.05, 0.95)","between(MINF_PKLE_2018, 0.05, 0.95)","between(MINF_FRMI_2018, 0.05, 0.95)","between(MINF_KING_2018, 0.05, 0.95)","between(MINF_OVTN_2018, 0.05, 0.95)","between(MINF_KBSM_2018, 0.05, 0.95)","between(MINF_LINC_2018, 0.05, 0.95)","between(MINF_STIL_2018, 0.05, 0.95)","between(MINF_TMPL_2018, 0.05, 0.95)","between(MINF_CLMB_2018, 0.05, 0.95)",n,approx,,
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,26,8808.8,,
FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,24,8131.2,,
FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,23,7792.4,,
TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,23,7792.4,,
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,23,7792.4,,
TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,22,7453.6,,
FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,6776,,
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,20,6776,,
FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,18,6098.4,,
FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,17,5759.6,,
FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,17,5759.6,,
FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,17,5759.6,,
TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,17,5759.6,,
