PLANT_ID,LIBRARY,LIB_CLIMATE,LIB_PHENO
J029.B,IGQY,Y,Y
J394.A,IGQZ,Y,Y
J177.A,IGRC,Y,Y
J418.A,IGRD,Y,Y
J305.A,IGRE,Y,Y
J323.A,IGRF,Y,Y
J481.B,IGRG,Y,Y
J374.B,IGRH,Y,Y
J355.C,IGRJ,Y,Y
J384.B,IGRL,Y,Y
J542.C,IGRM,Y,Y
J419.B,IGRN,Y,Y
J306.A,IGRP,Y,Y
J455.A,IGRQ,Y,Y
J073.B,IGRR,N,Y
J400.A,IGRS,Y,Y
J257.A,IGRT,Y,Y
J429.A,IGRU,Y,Y
J180.A,IGRW,Y,Y
J385.A,IGRX,Y,Y
J327.A,IGRZ,Y,Y
J482.C,IGSA,Y,Y
J376.C,IGSB,Y,Y
J358.A,IGSD,Y,Y
J352.A,IHWF,Y,Y
J001.A,IHWG,Y,Y
J208.B,IHWH,Y,Y
J008.C,IHWI,N,Y
J344.C,IHWJ,Y,Y
J004.B,IHWK,Y,Y
J301.A,IHWL,Y,Y
J013.C,IHWM,Y,Y
J018.C,IHWN,Y,Y
J384.C,IHWP,Y,Y
J488.C,IHWR,Y,Y
J022.C,IHWS,Y,Y
J428.B,IHWT,Y,Y
J065.A,IHWU,N,Y
J584.A,IHWW,Y,Y
J311.A,IHWX,Y,Y
J016.B,IHWY,Y,Y
J352.B,IHWZ,Y,Y
J001.B,IHXA,Y,Y
J208.C,IHXB,Y,Y
J008.D,IHXC,Y,Y
J005.B,IHXE,Y,Y
J065.B,IHXF,N,Y
J584.B,IHXG,Y,Y
J020.B,IHXH,N,Y
J386.B,IHXI,Y,Y
J525.B,IHXK,Y,Y
J022.D,IHXL,Y,Y
J430.A,IHXM,Y,Y
J348.A,IHXN,Y,Y
J005.D,IHXP,Y,Y
J316.A,IHXQ,Y,Y
J016.C,IHXR,Y,Y
J352.C,IHXS,Y,Y
J003.B,IHXT,Y,Y
J258.A,IHXU,Y,Y
J009.C,IHXW,N,Y
J023.B,IHXX,N,Y
J430.B,IHXY,Y,Y
J073.A,IHXZ,N,Y
J585.A,IHYA,Y,Y
J020.C,IHYB,N,Y
J394.B,IHYC,Y,Y
J538.C,IHYE,Y,Y
J348.C,IHYH,Y,Y
J006.B,IHYI,Y,Y
J320.A,IHYJ,Y,Y
J016.D,IHYK,Y,Y
J353.C,IHYL,Y,Y
J003.D,IHYM,N,Y
J030.C,IHYN,Y,Y
J086.A,IHYS,N,Y
J585.C,IHYT,Y,Y
J396.A,IHYW,Y,Y
J354.C,IHYX,Y,Y
J003.E,IHYY,N,Y
J296.A,IHYZ,Y,Y
J350.B,IHZB,Y,Y
J006.C,IHZC,Y,Y
J336.A,IHZD,Y,Y
J016.E,IHZE,Y,Y
J021.C,IHZF,N,Y
J026.B,IHZJ,Y,Y
J458.C,IHZK,Y,Y
J586.A,IHZM,Y,Y
J018.B,IHZP,Y,Y
J357.B,IHZQ,Y,Y
J003.F,IHZR,N,Y
J299.A,IHZS,Y,Y
J013.B,IHZT,Y,Y
J350.C,IHZU,Y,Y
J008.B,IHZW,Y,Y
J204.A,IHZX,Y,Y
J461.C,IHZY,Y,Y
J022.B,IHZZ,Y,Y
J425.A,IIAA,Y,Y
J045.C,IIAB,N,Y
J026.C,IIAD,Y,Y
J587.A,IIAE,Y,Y
J537.C,IIBQ,Y,Y
J258.C,IIIP,Y,Y
J267.A,IIIQ,Y,Y
J267.B,IIIR,Y,Y
J267.C,IIIS,Y,Y
J297.A,IIIT,Y,Y
J300.A,IIIU,Y,Y
J315.A,IIIW,Y,Y
J317.A,IIIX,Y,Y
J321.A,IIIY,Y,Y
J322.A,IIIZ,Y,Y
J344.A,IIJA,Y,Y
J348.B,IIJB,Y,Y
J349.A,IIJC,Y,Y
J349.B,IIJD,Y,Y
J349.C,IIJE,Y,Y
J351.C,IIJF,Y,Y
J353.A,IIJG,Y,Y
J354.B,IIJH,Y,Y
J355.B,IIJI,Y,Y
J357.C,IIJJ,Y,Y
J378.C,IIJK,Y,Y
J379.B,IIJL,Y,Y
J380.B,IIJM,Y,Y
J382.A,IIJN,Y,Y
J382.B,IIJP,Y,Y
J387.B,IIJQ,Y,Y
J390.B,IIJR,Y,Y
J406.A,IIJU,Y,Y
J412.A,IIJX,Y,Y
J416.A,IIKA,Y,Y
J418.B,IIKB,Y,Y
J419.A,IIKC,Y,Y
J420.B,IIKD,Y,Y
J421.A,IIKE,Y,Y
J421.B,IIKF,Y,Y
J429.B,IIKH,Y,Y
J431.B,IIKI,N,Y
J432.B,IIKJ,Y,Y
J434.A,IIKK,Y,Y
J440.A,IIKM,Y,Y
J441.B,IIKP,Y,Y
J447.A,IIKQ,N,Y
J448.A,IIKR,Y,Y
J455.B,IIKT,Y,Y
J456.A,IIKU,Y,Y
J456.B,IIKW,Y,Y
J456.C,IIKX,Y,Y
J458.A,IIKY,Y,Y
J458.B,IIKZ,Y,Y
J460.A,IILA,Y,Y
J460.B,IILB,Y,Y
J460.C,IILC,N,Y
J461.A,IILD,Y,Y
J464.B,IILE,Y,Y
J465.A,IILF,Y,Y
J465.C,IILG,Y,Y
J469.B,IILH,N,Y
J469.C,IILI,Y,Y
J481.A,IILJ,Y,Y
J489.A,IILK,Y,Y
J515.C,IILN,Y,Y
J516.B,IILP,N,Y
J517.B,IILQ,Y,Y
J517.C,IILR,Y,Y
J521.B,IILS,Y,Y
J521.C,IILT,Y,Y
J522.B,IILU,Y,Y
J522.C,IILW,Y,Y
J526.A,IILX,Y,Y
J526.C,IILY,Y,Y
J527.A,IILZ,Y,Y
J527.B,IIMA,N,Y
