Loss_BRKG > 75,Loss_LINC > 75,Loss_FRMI > 50,Loss_CLMB > 35,n
FALSE,FALSE,FALSE,FALSE,2169299
FALSE,FALSE,FALSE,TRUE,76315
FALSE,FALSE,TRUE,FALSE,31
FALSE,FALSE,TRUE,TRUE,12951
FALSE,TRUE,FALSE,FALSE,1054
FALSE,TRUE,FALSE,TRUE,3782
FALSE,TRUE,TRUE,FALSE,6
FALSE,TRUE,TRUE,TRUE,2511
TRUE,FALSE,FALSE,FALSE,53
TRUE,FALSE,FALSE,TRUE,491
TRUE,FALSE,TRUE,FALSE,2
TRUE,FALSE,TRUE,TRUE,857
TRUE,TRUE,FALSE,FALSE,314
TRUE,TRUE,FALSE,TRUE,3511
TRUE,TRUE,TRUE,FALSE,5
TRUE,TRUE,TRUE,TRUE,17346
